name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,cost for two,Cost For Person
ambur biryani point,Yes,No,4.2  out of 5,428,"+91 9739191644
+91 9738308596",Koramangala 1st Block,Quick Bites,"Ambur Biryani, Mutton Biryani, Raita","Biryani, Kebab",250,125.0
swad punjab da,Yes,No,4.1  out of 5,133,+91 8360151853,BTM,Quick Bites,"Lassi, Veg Thali, Roti, Aloo Paratha, Egg Curry",North Indian,150,75.0
hatti punjab di,Yes,No,3.9  out of 5,234,080 49652491,Koramangala 1st Block,"Takeaway, Delivery","Aloo Paratha, Burgers, Momos, Gulab Jamun, Mutton Roganjosh, Noodles, Butter Chicken","North Indian, Chinese",250,125.0
kalingas,Yes,No,3.9  out of 5,182,080 42038180,BTM,Quick Bites,"Rasgulla, Mutton Kosha, Chicken Kasha, Samosa Chaat, Kheer, Veg Thali","Oriya, Fast Food",250,125.0
wok paper scissors,Yes,No,4.3  out of 5,1593,00 7204653999,Koramangala 5th Block,Casual Dining,"Noodles, Manchow Soup, Khau Suey, Chilli Chicken, Chaat, Cheesecake, Momos","Asian, Malaysian, Chinese, Thai, Momos",550,275.0
corner house ice cream,Yes,No,4.6  out of 5,277,+91 7337681817,Koramangala 5th Block,Dessert Parlor,"Brownie Chocolate, Brown Bomb, Hot Chocolate Fudge, Fudge Cake, Brownie Fudge","Ice Cream, Desserts",400,200.0
momoz,No,No,3.9  out of 5,626,080 41739353,Koramangala 5th Block,Casual Dining,"Noodles, Thukpa, Chop Suey, Chicken Momo, Cheese Momos, Sweet Corn Soup, Prawn","Chinese, Momos",600,300.0
xo belgian waffle,Yes,No,4.5  out of 5,560,+91 9900332623,BTM,Dessert Parlor,"Blueberry Waffles, Nutella Waffle, Hot Chocolate, Thick Shakes, Coffee, Oreo Shake, Chocolate Oreo","Desserts, Beverages",400,200.0
kota kachori,Yes,No,4.3  out of 5,3617,080 49652458,Koramangala 6th Block,Quick Bites,"Pyaz Kachori, Chaat, Gajar Ka Halwa, Shrikhand, Jalebi Rabri, Churma, Boondi Raita","Street Food, Desserts, North Indian, Mithai, Rajasthani",400,200.0
paratha junction,Yes,No,2.9  out of 5,178,+91 9535673059,BTM,Quick Bites,"Paratha, Kadai Paneer","North Indian, Chinese",300,150.0
taco bell,Yes,No,4.1  out of 5,1962,"+91 8088933838
+91 9731183188",Koramangala 6th Block,Quick Bites,"Tacos, Nachos, Potato Pops, Potato Burrito, Fiery Potato, Rice Bowls, Taco Joint","Mexican, American, Fast Food",600,300.0
30 square,Yes,No,4.2  out of 5,557,"+91 9739275618
+91 8884187565",Koramangala 5th Block,Quick Bites,"Veg Momos, Noodles, Cheese Momos, Jhol Momos, Wai Wai Bhel, Brownie, Chicken Momo","Tibetan, Nepalese, Momos",400,200.0
golden restaurant,Yes,Yes,3.4  out of 5,411,"080 48544452
+91 9591444953",HSR,Casual Dining,"Chicken Grill, Shawarma","North Indian, Mughlai",750,375.0
hakka chinese restaurant,Yes,No,3.9  out of 5,331,"+91 8105432482
+91 8105416505",Koramangala 1st Block,Casual Dining,"Manchow Soup, Momos, Chicken Hakka Noodles, Chilli Chicken, Roast Chicken, Thai Wings, Malaysian Noodles","Chinese, Thai",600,300.0
shree muthahalli veg,Yes,No,4.2  out of 5,850,"+91 8884695222
+91 9738284866",HSR,Quick Bites,"Rava Idli, Filter Coffee, Tea, Vada, Paper Masala Dosa, Donne Biryani","South Indian, North Indian, Chinese, Juices, Ice Cream",300,150.0
just shawarma,Yes,No,4.0  out of 5,412,+91 7676764422,Koramangala 5th Block,Quick Bites,"Whole Meat Shawarma, Fries, Jumbo Shawarma, Malgoum Shawarma, Rolls, Chicken Shawarama, Kerala Parotta",Arabian,300,150.0
punjabi dhaba,Yes,No,3.4  out of 5,356,+91 9900296710,Ejipura,Quick Bites,"Butter Chicken, Paratha",North Indian,350,175.0
cake box,Yes,No,3.5  out of 5,98,"+91 9343354542
+91 6200547838",Koramangala 8th Block,Bakery,"Chocolate Truffle, Blueberry Cheesecake","Bakery, Desserts",400,200.0
truffles,No,No,4.7  out of 5,14710,080 49652818,Koramangala 5th Block,"Cafe, Casual Dining","Burgers, Pasta, Cocktails, American Cheese Burger, Chicken Salad, Pancakes, Chocolate Dessert","Cafe, American, Burger, Steak",900,450.0
subway,Yes,No,3.1  out of 5,382,+91 8197532665,HSR,Quick Bites,"Veg Salad, Sandwich","Salad, Fast Food",600,300.0
dum biryani hub,Yes,No,3.9  out of 5,66,080 49653144,BTM,Quick Bites,"Dum Biryani, Mutton Biryani",Biryani,700,350.0
royal biryani kitchen,Yes,No,3.9  out of 5,191,080 45128743,BTM,Quick Bites,"Mutton Biryani, Dragon Chicken, Chicken Dum Biryani, Vegetable Biryani, Paneer Biryani","Biryani, North Indian, Kebab",600,300.0
sulemani chichas,Yes,No,4.1  out of 5,361,080 49652154,Koramangala 5th Block,"Takeaway, Delivery","Hyderabadi Biryani, Chicken Biryani, Mutton Paya, Mutton Biryani, Vegetable Biryani, Khichda, Tandoori Chicken","Biryani, Hyderabadi, Kebab",400,200.0
maa bhook lagi,Yes,No,3.9  out of 5,297,+91 8197726028,Koramangala 4th Block,"Takeaway, Delivery","Chole, Kheer, Biryani, Liti Chokha, Litti, Churma, Raita",North Indian,400,200.0
meghana foods,Yes,No,4.4  out of 5,7233,080 49653429,Koramangala 5th Block,Casual Dining,"Chicken Boneless Biryani, Egg Curry, Andhra Biryani, Hyderabadi Biryani, Paneer Biryani, Buttermilk, Sea Food","Biryani, Seafood, Andhra, North Indian",600,300.0
behrouz biryani,Yes,No,4.0  out of 5,359,18002700928,Koramangala 8th Block,Delivery,"Gulab Jamun, Mint Raita, Paneer Subz Biryani, Hyderabadi Biryani, Mutton Biryani, Biryani Box, Basmati Rice",Biryani,650,325.0
chaat street,Yes,No,4.0  out of 5,293,080 49652608,Koramangala 6th Block,Kiosk,"Pav Bhaji, Panipuri, Raj Kachori, Papdi Chaat, Samosa Chaat, Bhel Puri, Vada Pav","Street Food, North Indian",250,125.0
madeena hotel,Yes,No,3.9  out of 5,240,"+91 8048665361
+91 9738458647",HSR,Quick Bites,Ghee Rice,"North Indian, Mughlai, Biryani",400,200.0
chai point,Yes,No,4.0  out of 5,113,+91 8880141000,BTM,"Beverage Shop, Quick Bites","Chai, Masala Tea, Samosa, Banana Cake, Egg Puff, Ginger Tea","Tea, Beverages, Fast Food",250,125.0
south tiffins,Yes,No,3.6  out of 5,144,+91 8095500014,HSR,Quick Bites,"Masala Dosa, Vada, Tea, Coffee, Idli",South Indian,150,75.0
zero mile punjab,Yes,Yes,4.1  out of 5,1342,+91 9986785586,HSR,Casual Dining,"Lassi, Chicken Curry, Chicken Malai Tikka, Butter Chicken, Panner Tikka, Butter Naan, Murgh Makhni","North Indian, Mughlai",800,400.0
vegan heat,Yes,No,4.1  out of 5,313,080 48513973,Koramangala 1st Block,"Takeaway, Delivery","Burgers, Pancakes, Waffles, Salad","Healthy Food, Salad",650,325.0
litti twist,Yes,No,4.2  out of 5,465,+91 8884270523,BTM,Quick Bites,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai","North Indian, Bihari",300,150.0
punjabi nawabi,Yes,No,4.0  out of 5,107,+91 9599698659,Koramangala 1st Block,Casual Dining,"Tikka, Dal Makhani, Saag, Naan, Makke Ki Roti",North Indian,500,250.0
bathinda tandoor,Yes,No,3.8  out of 5,60,"+91 7899987436
+91 7708528198",BTM,Quick Bites,Friendly Staff,North Indian,300,150.0
kfc,Yes,No,3.7  out of 5,630,080 33994444,HSR,Quick Bites,"Burgers, Crispy Chicken, Fiery Chicken, Chicken Wings, Chicken Grill, Rice Bowl, Hot Wings","Burger, Fast Food",400,200.0
savitha family restaurant,Yes,No,4.0  out of 5,198,"080 25505786
080 25500333",Koramangala 4th Block,Quick Bites,"Butter Naan, Tandoori Chicken, Chicken Tikka Masala, Malai Kofta, Biryani, Wheat Paratha, Noodles",North Indian,500,250.0
savoury restaurant,Yes,No,3.9  out of 5,421,080 49994999,BTM,Casual Dining,"Shawarma, Bamboo Biryani, Chicken Shawarama, Chicken Grill, Chicken Kebab, Fish, Appam","Arabian, North Indian, Chinese, Fast Food",800,400.0
mahesh friends food center,Yes,No,2.9  out of 5,136,+91 9731081364,BTM,Quick Bites,Lassi,"Chinese, North Indian",300,150.0
ghee biryanis,Yes,No,3.5  out of 5,139,+91 9742044034,BTM,"Takeaway, Delivery",Biryani,"Biryani, North Indian",500,250.0
pizza hut,Yes,No,3.9  out of 5,490,"080 39883988
080 25533999",Koramangala 6th Block,Casual Dining,"Pasta, Pepperoni, Garlic Bread, Supreme Pizza, Pane Pizza","Pizza, Fast Food",750,375.0
the biriyani pedia,Yes,No,3.9  out of 5,58,+91 9809202588,BTM,Quick Bites,"Chicken Stew, Ghee Rice, Chai, Beef Biryani","Biryani, North Indian",300,150.0
alankrutha,Yes,No,3.8  out of 5,260,080 71967536,BTM,Casual Dining,"Chicken Biryani, Hyderabadi Biryani, Dum Biryani","Andhra, Biryani, North Indian, Chinese",500,250.0
dadi's dum biryani,Yes,Yes,4.1  out of 5,2727,"+91 7090999991
+91 7090599999",BTM,Casual Dining,"Butter Chicken, Panner Tikka, Chicken Biryani, Chicken Lollipop, Chicken Tikka Masala, Dum Biryani, Tangdi Kabab","Biryani, North Indian, Mughlai",800,400.0
thalassery restaurant,Yes,No,3.7  out of 5,382,"+91 9747616175
+91 9562362711",Koramangala 5th Block,Casual Dining,"Tea, Fish, Thalassery Biryani, Garlic Naan, Chicken Curry, Ghee Rice, Sea Food","Kerala, Biryani, South Indian, North Indian, Chinese, Seafood, Juices",600,300.0
kaaram,Yes,No,3.9  out of 5,326,"080 49653061
+91 9742457293",Koramangala 6th Block,Casual Dining,"Mughlai Biryani, Vegetable Biryani, Kaaram Biryani, Gulab Jamun, Raita, Kebab Biryani, Dum Biryani","Andhra, Biryani",500,250.0
bathinda junction,Yes,Yes,4.1  out of 5,1250,+91 9886101619,Koramangala 5th Block,Casual Dining,"Butter Chicken, Kadhai Murgh, Rajma Chawal, Kadhai Paneer, Makke Ki Roti, Sweet Lassi, Dal Makhani",North Indian,600,300.0
anand sweets and savouries,Yes,No,4.2  out of 5,1077,"080 25631555
080 41104466",Koramangala 5th Block,Sweet Shop,"Chaat, Rasmalai, Motichoor Ladoo, Thali, Pav Bhaji, Paneer Tikka, Chole Bhature","Mithai, Street Food",400,200.0
sri vishnu park,Yes,No,3.8  out of 5,100,080 49702828,BTM,Casual Dining,Masala Dosa,"South Indian, North Indian, Chinese",350,175.0
new punjabi hotel,Yes,No,3.7  out of 5,181,+91 8971800413,BTM,Quick Bites,"Tandoori Chicken, Butter Chicken, Tandoori Roti, Bhindi Masala, Paratha, Dal Makhani","North Indian, Chinese",400,200.0
potful,Yes,No,4.1  out of 5,1128,080 49653469,Domlur,Delivery,"Phirni, Chicken Roll, Hyderabadi Biryani, Mutton Biryani, Lucknowi Biryani, Galauti Kebab, Gulab Jamun","Biryani, Kebab, Rolls, Mughlai",650,325.0
krishna sagar,Yes,No,3.9  out of 5,52,+91 9844610631,BTM,Quick Bites,Masala Dosa,"South Indian, North Indian, Chinese",300,150.0
new gongura grand,Yes,No,3.9  out of 5,371,"+91 8904133998
+91 8904233998",HSR,Casual Dining,"Andhra Thali, Chicken Lollipop, Mutton Biryani, Chicken Boneless Biryani, Andhra Meal, Hyderabadi Biryani, Raita","Andhra, Biryani, North Indian, Chinese",550,275.0
kabab magic,Yes,No,4.0  out of 5,964,080 26490895,Jayanagar,Quick Bites,"Chicken Grill, Grape Juice, Biryani, Shawarma Roll, Rolls, Chicken Kebab, Chicken Shwarma Roll","North Indian, Kebab, Fast Food",500,250.0
biryani junction,Yes,No,2.3  out of 5,298,"+91 7259100504
+91 7259100489",Bommanahalli,Quick Bites,"Raita, Vegetable Biryani, Biryani Combo","Biryani, North Indian, Chinese",450,225.0
sri udupi park,Yes,No,4.0  out of 5,65,+91 9632765444,HSR,Casual Dining,Tea,"South Indian, North Indian, Chinese, Beverages",300,150.0
aasife & brothers biriyani centre,Yes,No,3.9  out of 5,127,080 49652512,HSR,Casual Dining,"Biryani, Fried Rice, Fish, Chicken Lollipop","Biryani, North Indian, South Indian, Chinese",600,300.0
asha tiffins,Yes,No,4.3  out of 5,286,+91 7619682498,HSR,Quick Bites,"Vada, Masala Dosa, Kharabath, Filter Coffee, Kesari Bath, Idli Sambar",South Indian,150,75.0
hyderabad biryaani house,Yes,No,4.1  out of 5,1117,"080 65754353
+91 7204344343",Koramangala 5th Block,Casual Dining,"Hyderabadi Biryani, Mutton Biryani, Tandoori Chicken, Mutton Fry, Chicken Biryani, Lassi, Crispy Babycorn","Biryani, North Indian, Chinese, Hyderabadi",750,375.0
aramane donne biriyani,Yes,No,3.9  out of 5,192,"+91 7411877401
+91 7829588445",BTM,Quick Bites,"Egg Biryani, Donne Biryani","Biryani, Fast Food",300,150.0
warm oven,Yes,No,4.3  out of 5,894,"+91 8880233233
+91 8197170008",Domlur,Delivery,"Chocolate Truffle Cake, Eggless Cake, Cup Cake, Chocolate Dreamcake, Photo Cake, Fruit Cake, Litchi Cake","Bakery, Desserts",500,250.0
gyani da punjabi dhaba,Yes,No,3.9  out of 5,1190,"+91 9686407198
+91 9535167751",BTM,Quick Bites,"Lassi, Paratha, Paneer Parantha, Butter Chicken, Punjabi Chicken, Shahi Paneer, Chicken Kolhapuri","North Indian, Chinese",500,250.0
amontron,Yes,No,3.9  out of 5,461,+91 9742326196,BTM,Casual Dining,"Katla Kalia, Basanti Pulao, Biryani, Fish Curry, Aloo Posto, Mutton Kosha, Fish Fry",Bengali,650,325.0
tharavadu,Yes,No,3.9  out of 5,84,+91 9886876999,HSR,Quick Bites,"Biryani, Fish Curry","Chinese, North Indian, Kerala",400,200.0
ovenstory pizza,Yes,No,4.1  out of 5,192,+91 7738383000,Koramangala 8th Block,Delivery,"Chicken Tikka, Chocolava Cake, Peri Peri Pizza, Tandoori Paneer, Lava Cake",Pizza,750,375.0
sangam sweets,Yes,No,3.9  out of 5,149,+91 7022340879,HSR,Sweet Shop,"Pav Bhaji, Chaat, Paratha, Chole Bhature, Panipuri, Dhokla, Dahi Bhalle","Mithai, Street Food",200,100.0
biryani palace,Yes,No,3.9  out of 5,462,"+91 8105719991
+91 9742859940",HSR,Quick Bites,"Tandoori Chicken, Chicken Boneless Biryani, Hyderabadi Biryani, Lemon Chicken, Mutton Biryani, Raita","Biryani, Hyderabadi, Chinese",600,300.0
odissi restaurant,Yes,No,2.9  out of 5,67,+91 8043744560,BTM,Casual Dining,"Egg Tadka, Roti, Veg Thali",Oriya,200,100.0
le arabia,Yes,No,4.2  out of 5,146,+91 8041410082,JP Nagar,Casual Dining,"Chicken Biryani, Shawarma","North Indian, Mughlai",600,300.0
grow fit,Yes,No,4.0  out of 5,457,080 39658868,Koramangala 6th Block,Delivery,"Pizza, Brownie, Chicken Biryani","Healthy Food, North Indian, Thai",500,250.0
polar bear,Yes,No,4.1  out of 5,71,080 49652960,HSR,Dessert Parlor,"Hot Chocolate Fudge, Mango Sorbet, Brownie Fudge","Desserts, Ice Cream, Beverages, Sandwich",400,200.0
vijayalakshmi veg,Yes,No,3.9  out of 5,100,080 49653105,Jayanagar,Quick Bites,"Vada, Rava Idli, Masala Dosa, Coffee",South Indian,200,100.0
mad over donuts,Yes,No,4.2  out of 5,703,"+91 8033166397
+91 8067266398",Koramangala 7th Block,Dessert Parlor,"Donut, Latte, Coffee, Choco Bomb, Hot Chocolate, Waffles, Cappuccino","Bakery, Desserts, Beverages",450,225.0
podi idly,Yes,No,4.3  out of 5,655,080 41330399,Koramangala 6th Block,Quick Bites,"Podi Idli, Masala Dosa, Pongal, Coffee, Mini Idlis, Appam, Raagi Dosa",South Indian,250,125.0
rajanna military hotel,Yes,No,4.1  out of 5,171,+91 9686373527,Jayanagar,Quick Bites,"Biryani, Chicken Curry, Paratha, Paya Soup, Mutton Keema, Chicken Guntur, Pepper Chicken","Biryani, Fast Food",400,200.0
savoury - sea shell restaurant,Yes,No,3.9  out of 5,468,080 49994999,BTM,Casual Dining,"Pulpy Grape Juice, Chicken Grill, Tandoori Chicken, Shawarma Roll, Bbq Chicken, Mutton Biryani, Tomato Soup","Arabian, North Indian, Chinese, Fast Food",700,350.0
ashirvaad grand,Yes,No,4.0  out of 5,115,"080 26844799
080 26847799",BTM,Quick Bites,"Masala Dosa, Panneer Butter Masala","Chinese, North Indian, South Indian",400,200.0
hyderabadi biryani hub,Yes,No,3.6  out of 5,221,"+91 7259015811
+91 8722620990",BTM,Casual Dining,"Biryani, Raita","Biryani, North Indian, Chinese",600,300.0
noodle panda,Yes,No,4.3  out of 5,341,+91 8043029207,Koramangala 5th Block,Casual Dining,"Noodles, Momos, Ramen Soup, Bubble Tea, Noodle, Onion Rings, Veg Dim Sums","Chinese, Indonesian, Japanese, Malaysian, Thai, Vietnamese, Momos",800,400.0
sardarji ka dhaba,Yes,No,4.0  out of 5,758,"+91 9513530530
+91 9513530530",Hosur Road,Quick Bites,"Lassi, Punjabi Chicken, Paratha, Kadhai Murgh, Butter Naan, Lemon Chicken, Roti",North Indian,250,125.0
chokha chowka,Yes,No,3.9  out of 5,358,"+91 8045128659
+91 7204304000",BTM,Quick Bites,"Chaat, Samosa, Thali, Sweet Lassi, Biryani, Egg Roll, Masala Paneer","North Indian, Chinese",400,200.0
mealer.in,Yes,No,4.2  out of 5,701,080 43709452,Koramangala 4th Block,Delivery,"Kheer, Sandwich, Roti, Salad, Rajma, Gulab Jamun, Chole","North Indian, Biryani",450,225.0
moolehatti donne biryani mane,Yes,No,3.6  out of 5,218,080 65000346,HSR,Quick Bites,"Mutton Biryani, Chicken Kebab, Donne Biryani","Biryani, Chinese, North Indian, Kebab",400,200.0
mustard cafe,Yes,No,4.1  out of 5,894,"+91 8040940831
+91 8606621987",Koramangala 3rd Block,Cafe,"Mushroom Bruschettas, Mocktails, Blueberry Smoothie, Opera Cake, Beef Burger, Pasta Arrabiata, Burgers","Cafe, Continental, Burger, Salad, Healthy Food, Italian",800,400.0
one in a melon,Yes,No,4.1  out of 5,414,+91 7406611666,Koramangala 7th Block,"Beverage Shop, Quick Bites","Sandwiches, Fruit Juices, Chaat, Paneer Sandwich, Watermelon Juice, Cheese Sandwich","Juices, Healthy Food",300,150.0
phew (play hard eat wild),Yes,Yes,3.9  out of 5,487,+91 9365075799,BTM,Cafe,"Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings","Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700,350.0
chaiwala,Yes,No,3.1  out of 5,53,+91 8095855997,Koramangala 1st Block,Quick Bites,"Poha, Bread Omelette, Ginger Chai, Ginger Tea",Fast Food,100,50.0
szechuan dragon,Yes,No,3.9  out of 5,184,+91 9513187711,HSR,Delivery,"Salad, Fried Rice Chicken","Chinese, Thai, Momos",600,300.0
chicken county grand,Yes,No,3.9  out of 5,324,"080 26533377
080 26533378",Bannerghatta Road,Casual Dining,"Chicken Grill, Fish, Shawarma, Rolls, Tandoori Chicken, Biryani, Hyderabadi Chicken","North Indian, Chinese",650,325.0
onesta,Yes,Yes,4.4  out of 5,9079,"080 43723443
080 43705665",Koramangala 4th Block,"Casual Dining, Cafe","Berryblast, Gourmet Pizza, Mocktails, Ravioli, Bacon Pizza, Pasta, Prawn Pizza","Pizza, Cafe, Italian",600,300.0
c. k. mega hot food,Yes,No,4.0  out of 5,101,080 45128753,BTM,Casual Dining,"Chicken Lollipop, Garlic Butter Noodle","Chinese, Momos",600,300.0
paisa vasool,Yes,No,3.3  out of 5,395,+91 9718221004,Koramangala 7th Block,Quick Bites,"Fish Thali, Aloo Paratha",North Indian,400,200.0
pot biryani,Yes,No,3.9  out of 5,462,"+91 9900025811
+91 9900025812",Domlur,Casual Dining,"Pot Biryani, Boneless Biryani, Raita, Paneer Biryani, Mutton Biryani, Sea Food, Ghee Roast Mutton","North Indian, Chinese, Biryani, Seafood",600,300.0
gorbandh,Yes,No,4.0  out of 5,85,080 49652562,BTM,Quick Bites,"Aloo Paratha, Samosa, Kachori, Poha, Chaat","Fast Food, North Indian",400,200.0
arya hungry?,Yes,No,4.3  out of 5,279,"+91 7899337350
+91 9538079486",Koramangala 7th Block,Quick Bites,"Chole, Kulcha, Mutton Curry, Paratha, Mint Raita, Chicken Curry, Dal Makhani",North Indian,450,225.0
rang de basanthi,Yes,No,3.7  out of 5,434,"080 60500444
080 60500333",Koramangala 4th Block,Quick Bites,"Bhindi Fry, Aloo Fry, Sweet Lassi, Paratha, Tawa Roti, Palak Paneer, Butter Chicken","North Indian, South Indian, Chinese",400,200.0
hotel junior kuppanna,Yes,No,3.1  out of 5,266,+91 8041633030,HSR,Casual Dining,"Chicken Curry, Mutton Biryani, Paratha, Kothu Parotta, Mutton Fry, Pallipalayam Chicken, Chicken Biryani","Chettinad, South Indian",550,275.0
howlin wolf,Yes,No,4.0  out of 5,94,+91 7795839478,HSR,Casual Dining,"Chicken Steak, Burgers, Pizza, Salad, Fries, Garlic Bread, Chicken Nuggets","Italian, Mediterranean, European, Sandwich",700,350.0
stoned monkey,Yes,No,4.1  out of 5,511,+91 9844993807,Koramangala 6th Block,Dessert Parlor,"Nachos, Waffles, Hot Chocolate Fudge, Chocolate Icecreams, Tiramisu, Cheesy Garlic Bread, Vanilla Ice Cream","Desserts, Ice Cream",500,250.0
ambur star briyani,Yes,No,3.7  out of 5,118,"080 25535573
+91 8553067373",BTM,Quick Bites,"Mutton Biryani, Ambur Biryani, Chicken Biryani","Biryani, Kebab",400,200.0
pathaan sir,Yes,No,3.8  out of 5,132,080 40953211,Koramangala 7th Block,Quick Bites,"Rolls, Momos, Chicken Egg Roll, Fries, Cheese Roll, Veggie Roll","Rolls, Chinese",300,150.0
bubble bee,Yes,No,3.9  out of 5,48,080 49652716,HSR,Dessert Parlor,"Bubble Tea, Waffles, Blueberry Cheesecake","Beverages, Bubble Tea, Desserts",400,200.0
little lucknow,Yes,Yes,4.0  out of 5,236,+91 7259259888,Koramangala 5th Block,Casual Dining,"Shami Kebab, Kadhai Murgh, Butter Chicken, Chicken Biryani, Mughlai Paratha, Paneer Lababdar, Mughlai Chicken","Mughlai, North Indian",800,400.0
samosa singh,Yes,No,4.0  out of 5,326,"+91 9148998212
+91 9108857349",HSR,Delivery,"Chicken Keema Samosa, Aloo Samosa, Manchurian Samosa, Paneer Samosa","Street Food, Fast Food, Rolls, Desserts",200,100.0
wtf,Yes,No,4.1  out of 5,93,080 43758178,Koramangala 5th Block,Cafe,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake","Cafe, Continental",600,300.0
the pancake story,Yes,No,4.6  out of 5,121,080 49653454,Koramangala 1st Block,Dessert Parlor,"Pancakes, Waffles, Popcorn, Nachos, Tea, Savoury Crepe, Hot Chocolate","Desserts, Beverages",300,150.0
dwaraka krishna,Yes,No,3.7  out of 5,329,"+91 9538833223
+91 9742044034",BTM,"Takeaway, Delivery","Biryani, Shahi Paneer","North Indian, Biryani, Chinese",500,250.0
delicacy,Yes,No,3.9  out of 5,523,"080 25502233
080 41753636",Koramangala 4th Block,Casual Dining,"Noodles, Momos, Chicken Manchow Soup, Chicken Noodle, Prawn, Chicken Honey, Thai Rice","Chinese, Thai, Momos",500,250.0
howrah bridge,Yes,No,3.3  out of 5,293,"080 41201717
+91 9986507665",HSR,Casual Dining,"Rasgulla, Egg Devils, Mutton Kosha, Luchi, Chicken Biryani, Aalo Bhaja, Mughlai Paratha","Bengali, Seafood",600,300.0
asia kitchen by mainland china,Yes,Yes,4.9  out of 5,2235,080 49652573,Koramangala 5th Block,"Casual Dining, Bar","Noodles, Chicken Dim Sum, Pad Thai Noodle, Jumbo Prawns, Cocktails, Prawn Sushi, Treasure Soup","Asian, Chinese, Thai, Momos",1500,750.0
the rasaganga,Yes,No,3.9  out of 5,163,+91 8197399958,HSR,Quick Bites,"Coffee, Dahi Vada, Chaat","South Indian, North Indian, Chinese, Street Food",300,150.0
sarvam,Yes,No,3.5  out of 5,124,"080 25720213
+91 9632833336",HSR,Casual Dining,"Roti, Paratha, Appam, Chicken Biryani, Kothu Parotta, Elaneer Payasam, Fish Fry","South Indian, Chettinad, Chinese, North Indian, Andhra, Seafood",550,275.0
nutri rich,Yes,No,3.8  out of 5,53,+91 8043761506,Koramangala 7th Block,Quick Bites,"Pizza, Spinach Curry, Salad",Healthy Food,350,175.0
dyu art cafe,No,No,4.5  out of 5,3845,"+91 9895674244
+91 9611319774",Koramangala 5th Block,Cafe,"Coffee, Chocolate Mocha, Hot Chocolate, Chocolate Cake, Sandwiches, Pizza, Bannoffee Pie","Cafe, Italian, Fast Food",800,400.0
marwa restaurant,Yes,Yes,3.5  out of 5,552,080 49653014,Bannerghatta Road,Casual Dining,"Kalmi Kabab, Gulab Jamun, Chicken Grill, Shawarma Roll, Vegetarian, Barbeque Chicken, Dal Fry","North Indian, Chinese, Fast Food, BBQ",600,300.0
dosa plaza,Yes,No,3.8  out of 5,140,080 71967784,Koramangala 5th Block,Quick Bites,Masala Dosa,"South Indian, North Indian, Chinese, Beverages",200,100.0
foodiesthan,Yes,No,3.7  out of 5,59,+91 9845055369,HSR,Cafe,"Masala Chai, Garlic Bread, Oreo Shake","Cafe, Fast Food, North Indian",600,300.0
gramin,Yes,No,4.3  out of 5,3459,+91 8041104104,Koramangala 7th Block,Casual Dining,"Chaach, Bhindi Anardana, Thandai, Jal-jeera, Lunch Thali, Sweet Lassi, Crispy Babycorn",North Indian,600,300.0
zee5 loft,Yes,No,4.4  out of 5,362,080 49653381,Koramangala 6th Block,Cafe,"Tomato Soup, Brownie Shake, Pizza, Salad, Fries, Chicken Bbq Wings, Pasta","Cafe, North Indian, Pizza, Sandwich, Salad",500,250.0
momo rice noodles,Yes,No,3.8  out of 5,222,"+91 8050064338
+91 9342385619",Ejipura,Casual Dining,"Momos, Noodles, Dragon Chicken, Chicken Manchurian, Wonton Soup, Chilli Chicken","Chinese, Momos",600,300.0
hanoi - vietnamese cuisine,Yes,Yes,4.4  out of 5,1808,"080 41405599
+91 9108801480",Koramangala 4th Block,Casual Dining,"Pho, Hot Pot, Sangria, Fig Ice Cream, Crepe, Fish, Pumpkin Soup",Vietnamese,1000,500.0
psv's andhra paradise,Yes,No,3.5  out of 5,117,"080 65589315
+91 8884077772",HSR,Casual Dining,"Chicken Guntur, Biryani, Thali","Andhra, Chinese, North Indian, Hyderabadi",600,300.0
yum in my tum,Yes,No,4.2  out of 5,114,+91 9108084789,BTM,Quick Bites,"Momos, Pizza Sandwich, Manchow Soup, Chowmein, Spring Roll, Noodles, White Pasta","Chinese, Continental, Fast Food, Healthy Food",300,150.0
delite chaat house,Yes,No,3.9  out of 5,501,080 49652649,Koramangala 6th Block,Quick Bites,"Chaat, Dabeli, Pav Bhaji, Dhokla, Gujarati Food, Jalebi, Panipuri","Street Food, Gujarati",300,150.0
chaatimes,Yes,No,3.4  out of 5,47,+91 8884252255,BTM,Quick Bites,"Chaat, Dabeli, Panipuri","Street Food, Fast Food",200,100.0
nuts over salads cafe,Yes,Yes,4.5  out of 5,208,"080 25533344
+91 7019629831",Koramangala 5th Block,Cafe,"Salad, Salads, Peri Peri Chicken, Broccoli Soup, Burgers, Steak, Clear Soup","Cafe, Salad",800,400.0
occasions,Yes,No,4.3  out of 5,190,"080 48909425
+91 9322728728",Koramangala 4th Block,Bakery,"Cup Cake, Chocolate Truffle, Dutch Truffle, Blueberry Cheesecake","Bakery, Desserts",400,200.0
